Section,GlobalIndex,LocalIndex,TargetChar,Yaw,Pitch,UserInput,IsCorrect,FontSize,SpawnZone,,Label,,,,,,,,,,,
6,54,9,D,50.78,-34.26,D,TRUE,122.9,Grid_Bottom-Right,,0,,,,,,,,,,,
7,55,1,O,-30.44,28.87,NotVisible,FALSE,28.3,Grid_Top-Left,,1,,,,,,,,,,,
7,56,2,E,-22.57,20.58,NotVisible,FALSE,17.3,Grid_Top-Center,,1,,,,,,,,,,,
7,57,3,C,40.84,16.39,NotVisible,FALSE,28.3,Grid_Top-Right,,1,,,,,,,,,,,
7,58,4,T,-49.3,-23.02,NotVisible,FALSE,6.5,Grid_Middle-Left,,1,,,,,,,,,,,
7,59,5,F,13.78,-9.76,F,TRUE,122.9,Grid_Middle-Center,,0,,,,,,,,,,,
7,60,6,L,29.32,-12.34,L,TRUE,28.3,Grid_Middle-Right,,0,,,,,,,,,,,
7,61,7,P,-49.14,-39.16,NotVisible,FALSE,10.6,Grid_Bottom-Left,,1,,,,,,,,,,,
7,62,8,D,-1.88,-37.72,D,TRUE,28.3,Grid_Bottom-Center,,0,,,,,,,,,,,
7,63,9,Z,47.93,-43.73,NotVisible,FALSE,6.5,Grid_Bottom-Right,,1,,,,,,,,,,,
8,64,1,F,-52.9,23.46,NotVisible,FALSE,6.5,Grid_Top-Left,,1,,,,,,,,,,,
8,65,2,L,12.14,41.83,NotVisible,FALSE,17.3,Grid_Top-Center,,1,,,,,,,,,,,
8,66,3,E,34.47,36.57,NotVisible,FALSE,75.3,Grid_Top-Right,,1,,,,,,,,,,,
8,67,4,D,-48.68,-2.66,NotVisible,FALSE,122.9,Grid_Middle-Left,,1,,,,,,,,,,,
8,68,5,T,18.3,-20.54,T,TRUE,46.1,Grid_Middle-Center,,0,,,,,,,,,,,
8,69,6,C,50.9,-19.3,C,TRUE,201,Grid_Middle-Right,,0,,,,,,,,,,,
8,70,7,O,-34.59,-50.77,NotVisible,FALSE,6.5,Grid_Bottom-Left,,1,,,,,,,,,,,
8,71,8,P,-19.04,-39.62,NotVisible,FALSE,6.5,Grid_Bottom-Center,,1,,,,,,,,,,,
8,72,9,Z,48.55,-36.76,Z,TRUE,201,Grid_Bottom-Right,,0,,,,,,,,,,,
9,73,1,D,-32.96,31.03,NotVisible,FALSE,6.5,Grid_Top-Left,,1,,,,,,,,,,,
9,74,2,F,2.38,15.78,NotVisible,FALSE,10.6,Grid_Top-Center,,1,,,,,,,,,,,
9,75,3,O,41.27,23.32,NotVisible,FALSE,122.9,Grid_Top-Right,,1,,,,,,,,,,,
9,76,4,L,-53.62,1.48,NotVisible,FALSE,75.3,Grid_Middle-Left,,1,,,,,,,,,,,
9,77,5,T,-16.86,9.21,NotVisible,FALSE,10.6,Grid_Middle-Center,,1,,,,,,,,,,,
9,78,6,P,45.07,3.15,NotVisible,FALSE,46.1,Grid_Middle-Right,,1,,,,,,,,,,,
9,79,7,E,-39.2,-49.89,NotVisible,FALSE,10.6,Grid_Bottom-Left,,1,,,,,,,,,,,
9,80,8,C,-19.67,-36.8,C,TRUE,75.3,Grid_Bottom-Center,,0,,,,,,,,,,,
9,81,9,Z,45.04,-43.11,Z,TRUE,201,Grid_Bottom-Right,,0,,,,,,,,,,,
10,82,1,E,-53.32,39.13,NotVisible,FALSE,6.5,Grid_Top-Left,,1,,,,,,,,,,,
10,83,2,C,18.08,38.84,NotVisible,FALSE,46.1,Grid_Top-Center,,1,,,,,,,,,,,
10,84,3,D,30.29,18.27,NotVisible,FALSE,6.5,Grid_Top-Right,,1,,,,,,,,,,,
10,85,4,T,-46.01,-8.77,NotVisible,FALSE,46.1,Grid_Middle-Left,,1,,,,,,,,,,,
10,86,5,F,10.86,-23.72,F,TRUE,17.3,Grid_Middle-Center,,0,,,,,,,,,,,
10,87,6,L,35.49,-19.05,L,TRUE,201,Grid_Middle-Right,,0,,,,,,,,,,,
10,88,7,P,-50.1,-44.17,NotVisible,FALSE,46.1,Grid_Bottom-Left,,1,,,,,,,,,,,
10,89,8,O,-20.12,-44.19,O,TRUE,201,Grid_Bottom-Center,,0,,,,,,,,,,,
10,90,9,Z,49.54,-49.46,Z,TRUE,122.9,Grid_Bottom-Right,,0,,,,,,,,,,,
11,91,1,O,-41.91,37.51,NotVisible,FALSE,28.3,Grid_Top-Left,,1,,,,,,,,,,,
11,92,2,T,-8.25,34.73,NotVisible,FALSE,17.3,Grid_Top-Center,,1,,,,,,,,,,,
11,93,3,P,53.84,18.61,NotVisible,FALSE,46.1,Grid_Top-Right,,1,,,,,,,,,,,
11,94,4,E,-44.38,5.19,NotVisible,FALSE,46.1,Grid_Middle-Left,,1,,,,,,,,,,,
11,95,5,Z,2.73,-25.74,Z,TRUE,46.1,Grid_Middle-Center,,0,,,,,,,,,,,
11,96,6,L,52.45,-20.47,NotVisible,FALSE,28.3,Grid_Middle-Right,,1,,,,,,,,,,,
11,97,7,C,-30.55,-43.77,C,TRUE,28.3,Grid_Bottom-Left,,0,,,,,,,,,,,
11,98,8,D,4.98,-51.48,NotVisible,FALSE,10.6,Grid_Bottom-Center,,1,,,,,,,,,,,
11,99,9,F,47.83,-39.98,NotVisible,FALSE,17.3,Grid_Bottom-Right,,1,,,,,,,,,,,
12,100,1,F,-53.18,32.33,NotVisible,FALSE,75.3,Grid_Top-Left,,1,,,,,,,,,,,
12,101,2,T,-3.76,37.24,NotVisible,FALSE,122.9,Grid_Top-Center,,1,,,,,,,,,,,
12,102,3,C,26.85,25.89,NotVisible,FALSE,10.6,Grid_Top-Right,,1,,,,,,,,,,,
12,103,4,D,-40.4,-11.79,D,TRUE,201,Grid_Middle-Left,,0,,,,,,,,,,,
12,104,5,E,-20.86,-2.46,E,TRUE,17.3,Grid_Middle-Center,,0,,,,,,,,,,,
12,105,6,Z,45.73,-22.14,NotVisible,FALSE,46.1,Grid_Middle-Right,,1,,,,,,,,,,,
12,106,7,L,-49.34,-33.18,NotVisible,FALSE,46.1,Grid_Bottom-Left,,1,,,,,,,,,,,
12,107,8,P,6.76,-31.7,P,TRUE,46.1,Grid_Bottom-Center,,0,,,,,,,,,,,
12,108,9,O,38.32,-51.22,NotVisible,FALSE,17.3,Grid_Bottom-Right,,1,,,,,,,,,,,
13,109,1,O,-43.98,34.68,NotVisible,FALSE,201,Grid_Top-Left,,1,,,,,,,,,,,
13,110,2,Z,9.03,29.91,NotVisible,FALSE,10.6,Grid_Top-Center,,1,,,,,,,,,,,
13,111,3,E,53.84,32.23,NotVisible,FALSE,122.9,Grid_Top-Right,,1,,,,,,,,,,,
13,112,4,T,-43.11,2.95,T,TRUE,201,Grid_Middle-Left,,0,,,,,,,,,,,
13,113,5,C,13.34,-6.42,C,TRUE,75.3,Grid_Middle-Center,,0,,,,,,,,,,,
13,114,6,D,42.93,-0.98,NotVisible,FALSE,10.6,Grid_Middle-Right,,1,,,,,,,,,,,
13,115,7,F,-53.22,-42.58,NotVisible,FALSE,17.3,Grid_Bottom-Left,,1,,,,,,,,,,,
13,116,8,L,7.57,-47.42,L,TRUE,201,Grid_Bottom-Center,,0,,,,,,,,,,,
13,117,9,P,31.92,-50.31,NotVisible,FALSE,10.6,Grid_Bottom-Right,,1,,,,,,,,,,,
14,118,1,T,-42.22,40.49,NotVisible,FALSE,10.6,Grid_Top-Left,,1,,,,,,,,,,,
14,119,2,C,-13.99,36.51,NotVisible,FALSE,10.6,Grid_Top-Center,,1,,,,,,,,,,,
14,120,3,P,47.78,18.02,NotVisible,FALSE,122.9,Grid_Top-Right,,1,,,,,,,,,,,
14,121,4,D,-28.21,-23.72,D,TRUE,122.9,Grid_Middle-Left,,0,,,,,,,,,,,
14,122,5,F,-7.36,6.46,F,TRUE,75.3,Grid_Middle-Center,,0,,,,,,,,,,,
14,123,6,E,50.58,-21.23,NotVisible,FALSE,17.3,Grid_Middle-Right,,1,,,,,,,,,,,
14,124,7,Z,-35.44,-32.21,Z,TRUE,10.6,Grid_Bottom-Left,,0,,,,,,,,,,,
14,125,8,O,-3.71,-38.68,O,TRUE,75.3,Grid_Bottom-Center,,0,,,,,,,,,,,
14,126,9,L,43.75,-48.64,NotVisible,FALSE,17.3,Grid_Bottom-Right,,1,,,,,,,,,,,
15,127,1,D,-32.6,20.05,D,TRUE,122.9,Grid_Top-Left,,0,,,,,,,,,,,
15,128,2,L,-24.87,42.68,NotVisible,FALSE,6.5,Grid_Top-Center,,1,,,,,,,,,,,
15,129,3,O,30.96,35.11,NotVisible,FALSE,10.6,Grid_Top-Right,,1,,,,,,,,,,,
15,130,4,Z,-27.6,-10.2,Z,TRUE,46.1,Grid_Middle-Left,,0,,,,,,,,,,,
15,131,5,T,-13.98,-5,T,TRUE,46.1,Grid_Middle-Center,,0,,,,,,,,,,,
15,132,6,C,34.92,-20.2,C,TRUE,46.1,Grid_Middle-Right,,0,,,,,,,,,,,
15,133,7,F,-43.18,-40.19,NotVisible,FALSE,10.6,Grid_Bottom-Left,,1,,,,,,,,,,,
15,134,8,P,-10.7,-49.08,T,FALSE,46.1,Grid_Bottom-Center,,1,,,,,,,,,,,
15,135,9,E,43.02,-41.85,NotVisible,FALSE,28.3,Grid_Bottom-Right,,1,,,,,,,,,,,
16,136,1,P,-52.88,34.57,NotVisible,FALSE,10.6,Grid_Top-Left,,1,,,,,,,,,,,
16,137,2,D,-11.72,35.79,NotVisible,FALSE,6.5,Grid_Top-Center,,1,,,,,,,,,,,
16,138,3,Z,45.41,41.32,NotVisible,FALSE,75.3,Grid_Top-Right,,1,,,,,,,,,,,
16,139,4,O,-44.55,-7.01,NotVisible,FALSE,28.3,Grid_Middle-Left,,1,,,,,,,,,,,
16,140,5,L,-4.51,-24.2,F,FALSE,6.5,Grid_Middle-Center,,1,,,,,,,,,,,
16,141,6,F,30.77,-22.45,T,FALSE,6.5,Grid_Middle-Right,,1,,,,,,,,,,,
16,142,7,T,-44.74,-50.05,NotVisible,FALSE,46.1,Grid_Bottom-Left,,1,,,,,,,,,,,
16,143,8,C,15.32,-48.71,C,TRUE,28.3,Grid_Bottom-Center,,0,,,,,,,,,,,
16,144,9,E,53.5,-46.04,NotVisible,FALSE,75.3,Grid_Bottom-Right,,1,,,,,,,,,,,
17,145,1,C,-53.17,13.1,NotVisible,FALSE,6.5,Grid_Top-Left,,1,,,,,,,,,,,
17,146,2,P,-9.8,36.13,NotVisible,FALSE,28.3,Grid_Top-Center,,1,,,,,,,,,,,
17,147,3,Z,30.62,30.81,NotVisible,FALSE,201,Grid_Top-Right,,1,,,,,,,,,,,
17,148,4,F,-44.46,-16.15,NotVisible,FALSE,28.3,Grid_Middle-Left,,1,,,,,,,,,,,
17,149,5,D,18.18,2,D,TRUE,28.3,Grid_Middle-Center,,0,,,,,,,,,,,
17,150,6,E,27.46,-23.62,E,TRUE,6.5,Grid_Middle-Right,,0,,,,,,,,,,,
17,151,7,L,-43.41,-50.59,NotVisible,FALSE,46.1,Grid_Bottom-Left,,1,,,,,,,,,,,
17,152,8,O,-20.52,-35.72,O,TRUE,75.3,Grid_Bottom-Center,,0,,,,,,,,,,,
17,153,9,T,46.27,-46.92,C,FALSE,28.3,Grid_Bottom-Right,,1,,,,,,,,,,,
18,154,1,T,-52.27,28.28,NotVisible,FALSE,28.3,Grid_Top-Left,,1,,,,,,,,,,,
18,155,2,P,-9.61,22.34,NotVisible,FALSE,6.5,Grid_Top-Center,,1,,,,,,,,,,,
18,156,3,E,50.82,22.31,NotVisible,FALSE,75.3,Grid_Top-Right,,1,,,,,,,,,,,
18,157,4,Z,-39.78,-14.62,Z,TRUE,201,Grid_Middle-Left,,0,,,,,,,,,,,
18,158,5,C,18.62,-11.83,C,TRUE,201,Grid_Middle-Center,,0,,,,,,,,,,,
18,159,6,D,30.57,-13.72,D,TRUE,122.9,Grid_Middle-Right,,0,,,,,,,,,,,
18,160,7,L,-39.92,-32.76,NotVisible,FALSE,6.5,Grid_Bottom-Left,,1,,,,,,,,,,,
18,161,8,F,9.31,-42.15,F,TRUE,28.3,Grid_Bottom-Center,,0,,,,,,,,,,,
18,162,9,O,50.37,-41.91,NotVisible,FALSE,17.3,Grid_Bottom-Right,,1,,,,,,,,,,,
19,163,1,E,-50.89,33.37,NotVisible,FALSE,122.9,Grid_Top-Left,,1,,,,,,,,,,,
19,164,2,T,-9.36,38.87,NotVisible,FALSE,17.3,Grid_Top-Center,,1,,,,,,,,,,,
19,165,3,F,36.9,14.71,NotVisible,FALSE,46.1,Grid_Top-Right,,1,,,,,,,,,,,
19,166,4,L,-34.3,-22.4,L,TRUE,201,Grid_Middle-Left,,0,,,,,,,,,,,
19,167,5,D,-5.16,-24.53,D,TRUE,46.1,Grid_Middle-Center,,0,,,,,,,,,,,
19,168,6,O,27.83,8.78,O,TRUE,10.6,Grid_Middle-Right,,0,,,,,,,,,,,
19,169,7,C,-39.52,-52.61,NotVisible,FALSE,17.3,Grid_Bottom-Left,,1,,,,,,,,,,,
19,170,8,P,-5.83,-47.98,P,TRUE,17.3,Grid_Bottom-Center,,0,,,,,,,,,,,
19,171,9,Z,40.23,-45.11,Z,TRUE,201,Grid_Bottom-Right,,0,,,,,,,,,,,
20,172,1,P,-35.81,29.5,NotVisible,FALSE,28.3,Grid_Top-Left,,1,,,,,,,,,,,
20,173,2,C,-11.6,27.3,C,TRUE,122.9,Grid_Top-Center,,0,,,,,,,,,,,
20,174,3,F,50.89,35.51,NotVisible,FALSE,6.5,Grid_Top-Right,,1,,,,,,,,,,,
20,175,4,D,-37.02,-16.22,D,TRUE,201,Grid_Middle-Left,,0,,,,,,,,,,,
20,176,5,E,-11.56,-18.9,E,TRUE,201,Grid_Middle-Center,,0,,,,,,,,,,,
20,177,6,L,47.95,-26.8,L,TRUE,75.3,Grid_Middle-Right,,0,,,,,,,,,,,
20,178,7,T,-46.58,-35.16,T,TRUE,46.1,Grid_Bottom-Left,,0,,,,,,,,,,,
20,179,8,O,-21.79,-35.65,NotVisible,FALSE,6.5,Grid_Bottom-Center,,1,,,,,,,,,,,
20,180,9,Z,28.38,-35.37,Z,TRUE,10.6,Grid_Bottom-Right,,0,,,,,,,,,,,
1,1,1,P,-45.42,34.86,NotVisible,FALSE,6.5,Grid_Top-Left,,1,,,,,,,,,,,
1,2,2,Z,-23.26,23.01,NotVisible,FALSE,6.5,Grid_Top-Center,,1,,,,,,,,,,,
1,3,3,D,50.23,15.44,NotVisible,FALSE,6.5,Grid_Top-Right,,1,,,,,,,,,,,
1,4,4,F,-26.96,-23.32,F,TRUE,17.3,Grid_Middle-Left,,0,,,,,,,,,,,
1,5,5,T,8.78,-17.34,T,TRUE,17.3,Grid_Middle-Center,,0,,,,,,,,,,,
1,6,6,L,54.07,0.14,NotVisible,FALSE,75.3,Grid_Middle-Right,,1,,,,,,,,,,,
1,7,7,C,-53.47,-50.73,NotVisible,FALSE,46.1,Grid_Bottom-Left,,1,,,,,,,,,,,
1,8,8,O,-12.87,-39.41,D,FALSE,10.6,Grid_Bottom-Center,,1,,,,,,,,,,,
1,9,9,E,48.71,-44.41,E,TRUE,46.1,Grid_Bottom-Right,,0,,,,,,,,,,,
2,10,1,O,-46.36,25.37,NotVisible,FALSE,6.5,Grid_Top-Left,,1,,,,,,,,,,,
2,11,2,Z,-1.82,13.26,D,FALSE,6.5,Grid_Top-Center,,1,,,,,,,,,,,
2,12,3,D,49.27,37.2,NotVisible,FALSE,17.3,Grid_Top-Right,,1,,,,,,,,,,,
2,13,4,L,-43.28,-19.93,L,TRUE,201,Grid_Middle-Left,,0,,,,,,,,,,,
2,14,5,E,-9.99,-7.79,E,TRUE,201,Grid_Middle-Center,,0,,,,,,,,,,,
2,15,6,F,52.68,3.27,F,TRUE,201,Grid_Middle-Right,,0,,,,,,,,,,,
2,16,7,C,-49.14,-34.19,C,TRUE,122.9,Grid_Bottom-Left,,0,,,,,,,,,,,
2,17,8,P,-17.66,-33.44,P,TRUE,46.1,Grid_Bottom-Center,,0,,,,,,,,,,,
2,18,9,T,52.51,-41.26,NotVisible,FALSE,6.5,Grid_Bottom-Right,,1,,,,,,,,,,,
3,19,1,P,-40.69,29,NotVisible,FALSE,10.6,Grid_Top-Left,,1,,,,,,,,,,,
3,20,2,T,9.08,30.44,T,TRUE,10.6,Grid_Top-Center,,0,,,,,,,,,,,
3,21,3,E,46.67,30.04,NotVisible,FALSE,10.6,Grid_Top-Right,,1,,,,,,,,,,,
3,22,4,Z,-52.13,-3.34,NotVisible,FALSE,17.3,Grid_Middle-Left,,1,,,,,,,,,,,
3,23,5,L,-11.75,-1.38,L,TRUE,122.9,Grid_Middle-Center,,0,,,,,,,,,,,
3,24,6,O,49.36,-5.5,O,TRUE,75.3,Grid_Middle-Right,,0,,,,,,,,,,,
3,25,7,C,-46.34,-37.97,C,TRUE,122.9,Grid_Bottom-Left,,0,,,,,,,,,,,
3,26,8,F,9.89,-49.09,F,TRUE,122.9,Grid_Bottom-Center,,0,,,,,,,,,,,
3,27,9,D,48.84,-49.29,NotVisible,FALSE,6.5,Grid_Bottom-Right,,1,,,,,,,,,,,
4,28,1,O,-43.31,24.73,O,TRUE,201,Grid_Top-Left,,0,,,,,,,,,,,
4,29,2,E,10.52,26.8,E,TRUE,10.6,Grid_Top-Center,,0,,,,,,,,,,,
4,30,3,C,27.42,13.54,C,TRUE,6.5,Grid_Top-Right,,0,,,,,,,,,,,
4,31,4,Z,-52.24,0.79,NotVisible,FALSE,122.9,Grid_Middle-Left,,1,,,,,,,,,,,
4,32,5,F,-23.34,-19.01,F,TRUE,75.3,Grid_Middle-Center,,0,,,,,,,,,,,
4,33,6,P,40.81,-22.46,NotVisible,FALSE,6.5,Grid_Middle-Right,,1,,,,,,,,,,,
4,34,7,T,-42.03,-49.18,NotVisible,FALSE,17.3,Grid_Bottom-Left,,1,,,,,,,,,,,
4,35,8,L,17.48,-50.61,NotVisible,FALSE,6.5,Grid_Bottom-Center,,1,,,,,,,,,,,
4,36,9,D,40.64,-50.96,NotVisible,FALSE,28.3,Grid_Bottom-Right,,1,,,,,,,,,,,
5,37,1,Z,-50.36,27.53,NotVisible,FALSE,10.6,Grid_Top-Left,,1,,,,,,,,,,,
5,38,2,C,1.46,37.27,C,TRUE,28.3,Grid_Top-Center,,0,,,,,,,,,,,
5,39,3,O,31.14,35.52,O,TRUE,17.3,Grid_Top-Right,,0,,,,,,,,,,,
5,40,4,D,-37.09,-13.09,D,TRUE,17.3,Grid_Middle-Left,,0,,,,,,,,,,,
5,41,5,P,-21.15,-11.81,P,TRUE,28.3,Grid_Middle-Center,,0,,,,,,,,,,,
5,42,6,L,46.31,-28.43,NotVisible,FALSE,17.3,Grid_Middle-Right,,1,,,,,,,,,,,
5,43,7,E,-37.8,-48.83,NotVisible,FALSE,28.3,Grid_Bottom-Left,,1,,,,,,,,,,,
5,44,8,T,1.32,-33.88,T,TRUE,46.1,Grid_Bottom-Center,,0,,,,,,,,,,,
5,45,9,F,30.29,-36.96,F,TRUE,6.5,Grid_Bottom-Right,,0,,,,,,,,,,,
6,46,1,D,-41.84,28.93,NotVisible,FALSE,6.5,Grid_Top-Left,,1,,,,,,,,,,,
6,47,2,Z,21.32,22.72,Z,TRUE,201,Grid_Top-Center,,0,,,,,,,,,,,
6,48,3,C,39.48,19.54,NotVisible,FALSE,28.3,Grid_Top-Right,,1,,,,,,,,,,,
6,49,4,F,-52.98,1.73,NotVisible,FALSE,201,Grid_Middle-Left,,1,,,,,,,,,,,
6,50,5,O,-16.19,4.23,O,TRUE,46.1,Grid_Middle-Center,,0,,,,,,,,,,,
6,51,6,E,40.03,-28.64,E,TRUE,17.3,Grid_Middle-Right,,0,,,,,,,,,,,
6,52,7,P,-35.77,-41.15,NotVisible,FALSE,17.3,Grid_Bottom-Left,,1,,,,,,,,,,,
6,53,8,T,5.84,-43.5,T,TRUE,17.3,Grid_Bottom-Center,,0,,,,,,,,,,,
6,54,9,L,36.12,-36.07,L,TRUE,17.3,Grid_Bottom-Right,,0,,,,,,,,,,,
7,55,1,P,-52.31,15.99,NotVisible,FALSE,122.9,Grid_Top-Left,,1,,,,,,,,,,,
7,56,2,L,0.33,28.44,NotVisible,FALSE,6.5,Grid_Top-Center,,1,,,,,,,,,,,
7,57,3,F,41.38,23.7,F,TRUE,10.6,Grid_Top-Right,,0,,,,,,,,,,,
7,58,4,Z,-48.06,-7.86,Z,TRUE,28.3,Grid_Middle-Left,,0,,,,,,,,,,,
7,59,5,E,-14.14,-26.93,E,TRUE,17.3,Grid_Middle-Center,,0,,,,,,,,,,,
7,60,6,D,38.24,-16.94,D,TRUE,122.9,Grid_Middle-Right,,0,,,,,,,,,,,
7,61,7,T,-34.47,-40.99,T,TRUE,201,Grid_Bottom-Left,,0,,,,,,,,,,,
7,62,8,O,-0.07,-50.88,NotVisible,FALSE,10.6,Grid_Bottom-Center,,1,,,,,,,,,,,
7,63,9,C,48.18,-51.79,NotVisible,FALSE,46.1,Grid_Bottom-Right,,1,,,,,,,,,,,
8,64,1,T,-53.75,38.26,NotVisible,FALSE,17.3,Grid_Top-Left,,1,,,,,,,,,,,
8,65,2,Z,-10.74,39.58,Z,TRUE,201,Grid_Top-Center,,0,,,,,,,,,,,
8,66,3,C,49.93,23.35,NotVisible,FALSE,17.3,Grid_Top-Right,,1,,,,,,,,,,,
8,67,4,L,-36.45,-19.29,L,TRUE,122.9,Grid_Middle-Left,,0,,,,,,,,,,,
8,68,5,E,-11.88,7.9,E,TRUE,17.3,Grid_Middle-Center,,0,,,,,,,,,,,
8,69,6,P,31.57,5.69,P,TRUE,46.1,Grid_Middle-Right,,0,,,,,,,,,,,
8,70,7,O,-30.64,-45.36,O,TRUE,75.3,Grid_Bottom-Left,,0,,,,,,,,,,,
